meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
FINA/airweave Swimming World Cup 2017,01:49.62,30/09/2017,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,28,28,971,Hong Kong,HKG
FINA/MASTBANK Swimming World Cup 2014,01:49.68,28/10/2014,Men 200 Butterfly SCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,29,29,969,Tokyo,JPN
FINA/airweave Swimming World Cup 2016,01:49.71,04/10/2016,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,30,30,968,Dubai,UAE
FINA/MASTBANK Swimming World Cup 2014,01:49.73,24/10/2014,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,31,31,968,Beijing,CHN
FINA/MASTBANK Swimming World Cup 2014,01:49.73,04/10/2014,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,31,32,968,Moscow,RUS
ISL 2020 Season - Match 10,01:49.78,10/11/2020,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,33,33,958,Budapest,HUN
FINA/airweave Swimming World Cup 2016,01:49.82,30/09/2016,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,34,34,965,Beijing,CHN
FINA Swimming World Cup 2013,01:49.83,12/10/2013,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,35,35,980,Moscow,RUS
FINA/airweave Swimming World Cup 2016,01:49.84,08/10/2016,Men 200 Butterfly SCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,36,36,965,Doha,QAT
FINA/airweave Swimming World Cup 2017,01:49.86,04/10/2017,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,37,37,964,Doha,QAT
Japan Selection Trial Competition for 2018 ,01:49.87,27/10/2018,Men 200 Butterfly SCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,38,38,964,Tokyo,JPN
14th FINA World Swimming Championships (25m) 2018,01:49.88,11/12/2018,Men 200 Butterfly SCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,39,39,964,Hangzhou,CHN
FINA Swimming World Cup 2013,01:49.90,10/08/2013,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,40,40,978,Berlin,GER
FINA/airweave Swimming World Cup 2016,01:49.93,25/10/2016,Men 200 Butterfly SCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,41,41,963,Tokyo,JPN
FINA/airweave Swimming World Cup 2016,01:49.93,08/10/2016,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,41,42,963,Doha,QAT
FINA/airweave Swimming World Cup 2016,01:49.95,29/10/2016,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,43,43,962,Hong Kong,HKG
13th FINA World Swimming Championships (25m) 2016,01:49.97,06/12/2016,Men 200 Butterfly SCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,44,44,962,Windsor,CAN
ISL 2019 Season,01:49.98,27/10/2019,Men 200 Butterfly SCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,45,45,953,Budapest,HUN
FINA/MASTBANK Swimming World Cup 2014,01:50.08,27/08/2014,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,46,46,959,Doha,QAT
European Short Course Swimming Championships 2009,01:50.13,12/12/2009,Men 200 Butterfly SCM Male,POL,Poland,"KORZENIOWSKI, Pawel",M,09/07/1985,,,47,47,1029,Istanbul,TUR
ISL 2020 Season - Match 10,01:50.14,10/11/2020,Men 200 Butterfly SCM Male,TPE,Chinese Taipei,"WANG, Eddie",M,23/01/2002,,,48,48,949,Budapest,HUN
FINA/Arena Swimming World Cup 2011,01:50.15,22/10/2011,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,49,49,971,Berlin,GER
FINA/airweave Swimming World Cup 2017,01:50.19,18/11/2017,Men 200 Butterfly SCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,50,50,956,Singapore,SGP
FINA/MASTBANK Swimming World Cup 2014,01:50.19,31/08/2014,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,50,51,,Dubai,UAE
12th FINA World Swimming Championships (25m) 2014,01:50.21,07/12/2014,Men 200 Butterfly SCM Male,POL,Poland,"KORZENIOWSKI, Pawel",M,09/07/1985,,,52,52,955,Doha,QAT
European Short Course Swimming Championships 2019,01:50.23,08/12/2019,Men 200 Butterfly SCM Male,GRE,Greece,"VAZAIOS, Andreas",M,09/05/1994,,,53,53,946,Glasgow,GBR
ISL 2020 Season - Match 9,01:50.24,10/11/2020,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,54,54,946,Budapest,HUN
ISL 2019 Season,01:50.25,27/10/2019,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,55,55,946,Budapest,HUN
ISL 2020 Season - Match 7,01:50.28,06/11/2020,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,56,56,945,Budapest,HUN
ISL 2020 Season - Match 5,01:50.28,31/10/2020,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,56,57,945,Budapest,HUN
FINA/airweave Swimming World Cup 2017,01:50.28,30/09/2017,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,56,58,953,Hong Kong,HKG
Japan National Swimming Championships (25m),01:50.28,11/02/2012,Men 200 Butterfly SCM Male,JPN,Japan,"SANO, Hidemasa",M,28/05/1984,,,56,59,968,Tokyo,JPN
