meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Hungarian Swimming Championchip,01:54.85,15/04/2016,Men 200 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,172,172,915,Gyor,HUN
14th FINA World Championships 2011,01:54.85,26/07/2011,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,172,173,915,Shanghai,CHN
13th FINA World Championships 2009,01:54.85,28/07/2009,Men 200 Butterfly LCM Male,CHN,People's Republic of China,"CHEN, Yin",M,29/03/1986,,,172,174,,Rome,ITA
LIV Settecolli Trophy - 2017,01:54.87,24/06/2017,Men 200 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,175,175,914,Rome,ITA
17th FINA World Championships 2017,01:54.88,26/07/2017,Men 200 Butterfly LCM Male,USA,United States of America,"CONGER, Jack",M,26/09/1994,,,176,176,914,Budapest,HUN
Youth Olympic Games Buenos Aires 2018,01:54.89,12/10/2018,Men 200 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,177,177,914,Buenos Aires,ARG
13th Pan Pacific Championships 2018,01:54.89,10/08/2018,Men 200 Butterfly LCM Male,BRA,Brazil,"DE DEUS, Leonardo",M,18/01/1991,,,177,178,914,Tokyo,JPN
17th FINA World Championships 2017,01:54.89,25/07/2017,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,177,179,914,Budapest,HUN
CXIX Hungarian Championship,01:54.89,19/04/2017,Men 200 Butterfly LCM Male,HUN,Hungary,"KENDERESI, Tamas",M,13/12/1996,,,177,180,914,Debrecen,HUN
CXVII. National Championship in Memory of Tamas Sz,01:54.90,30/06/2015,Men 200 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,181,181,914,Gyor,HUN
36th International Swim Meeting - Mare Nostrum,01:54.90,10/06/2015,Men 200 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,181,182,914,Barcelona,ESP
European Championships 2018,01:54.91,04/08/2018,Men 200 Butterfly LCM Male,HUN,Hungary,"KENDERESI, Tamas",M,13/12/1996,,,183,183,913,Glasgow,GBR
2017 Maria Lenk Trophy,01:54.91,02/05/2017,Men 200 Butterfly LCM Male,BRA,Brazil,"DE DEUS, Leonardo",M,18/01/1991,,,183,184,913,Rio de Janeiro,BRA
2012 Coupe du Quebec,01:54.91,05/07/2012,Men 200 Butterfly LCM Male,CHN,People's Republic of China,"WU, Peng",M,16/05/1987,,,183,185,913,Piscines du Parc Oly,CAN
15th Asian Games 2006,01:54.91,02/12/2006,Men 200 Butterfly LCM Male,CHN,People's Republic of China,"WU, Peng",M,16/05/1987,,,183,186,,Doha,QAT
Philipps 66 National Championships,01:54.92,31/07/2019,Men 200 Butterfly LCM Male,USA,United States of America,"URLANDO, Luca",M,16/03/2002,,,187,187,913,Palo Alto,USA
12th Pan Pacific Championships 2014,01:54.92,21/08/2014,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,187,188,913,Gold Coast,AUS
